1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
101:96408898:d=2015012800:VGRD:450 mb:48 hour fcst:
102:97307985:d=2015012800:ABSV:450 mb:48 hour fcst:
103:98044978:d=2015012800:HGT:500 mb:48 hour fcst:
104:99153333:d=2015012800:TMP:500 mb:48 hour fcst:
105:99812465:d=2015012800:RH:500 mb:48 hour fcst:
106:101090848:d=2015012800:DPT:500 mb:48 hour fcst:
107:102200468:d=2015012800:SPFH:500 mb:48 hour fcst:
108:103300360:d=2015012800:VVEL:500 mb:48 hour fcst:
109:104322962:d=2015012800:UGRD:500 mb:48 hour fcst:
110:105221748:d=2015012800:VGRD:500 mb:48 hour fcst:
111:106111041:d=2015012800:ABSV:500 mb:48 hour fcst:
112:106845751:d=2015012800:HGT:550 mb:48 hour fcst:
113:108130060:d=2015012800:TMP:550 mb:48 hour fcst:
114:108832931:d=2015012800:RH:550 mb:48 hour fcst:
115:110126713:d=2015012800:DPT:550 mb:48 hour fcst:
116:111237427:d=2015012800:SPFH:550 mb:48 hour fcst:
117:112399706:d=2015012800:VVEL:550 mb:48 hour fcst:
118:113437276:d=2015012800:UGRD:550 mb:48 hour fcst:
119:114357392:d=2015012800:VGRD:550 mb:48 hour fcst:
120:115270409:d=2015012800:ABSV:550 mb:48 hour fcst:
121:116017052:d=2015012800:HGT:600 mb:48 hour fcst:
122:117494183:d=2015012800:TMP:600 mb:48 hour fcst:
123:118202696:d=2015012800:RH:600 mb:48 hour fcst:
